person_id,full_name,date_of_birth,email,phone,person_age,person_income,person_home_ownership,person_emp_length,source_system,created_at
P-100000,Allison Hill,1991-05-17,donaldgarcia@example.net,+1-219-560-0133,34,67020.12,RENT,8.8,CRM,2025-11-03 14:08:53.954934
P-100001,Jennifer Cole,2005-07-30,lisa02@example.net,(254)923-5116x15594,20,21672.54,MORTGAGE,5.5,CRM,2025-06-30 15:34:46.422589
P-100002,Jamie Arnold,1996-07-05,barbara10@example.net,441.731.6475,29,27745.41,OWN,8.5,WEBSITE,2025-02-23 21:24:38.736240
P-100003,Mia Sutton,1987-11-26,lynchgeorge@example.net,527.264.8350,38,45996.33,RENT,9.5,PARTNER_PORTAL,2026-01-04 22:48:49.890093
P-100004,Austin Gentry,1990-07-30,jason76@example.net,724.523.8849x696,35,54328.97,RENT,1.2,CRM,2026-05-19 15:19:57.147449
P-100005,Johnny Campos,1986-10-21,hernandezernest@example.net,(791)366-9784x80184,39,43154.45,OWN,4.3,CRM,2025-01-11 14:57:12.817932
P-100006,Aaron Bowen,1999-12-15,teresa28@example.org,+1-948-293-2528x8095,26,40741.76,RENT,3.3,PARTNER_PORTAL,2024-09-06 09:26:12.405712
P-100007,William Roman,1996-01-20,brianhumphrey@example.org,671-882-2782,29,59442.82,OTHER,6.5,CRM,2026-04-26 13:10:35.613769
P-100008,Nicole Vaughn,1990-04-14,raymond57@example.net,213.331.5098x393,35,144048.62,Mortgage,3.4,WEBSITE,2025-10-28 20:39:09.026986
P-100009,Austin Johnson,1998-05-04,chad34@example.net,838.729.9737x6311,27,28351.21,RENT,7.5,WEBSITE,2025-04-12 17:46:14.772899
P-100010,Nicholas Nunez,1984-07-27,brownjessica@example.org,933.587.2624,41,27942.77,OWN,1.7,WEBSITE,2026-02-22 14:12:30.183676
P-100011,Robert Chase,1988-11-24,williamsyvette@example.org,432-867-7360,37,66755.35,MORTGAGE,7.2,CRM,2024-06-21 13:00:19.670545
P-100012,Timothy Glover,1999-08-03,rodney87@example.org,243.909.8050,26,47295.82,OWN,5.9,BRANCH,2025-06-07 06:26:58.370053
P-100013,Brooke Yu,1987-03-24,yorkcasey@example.org,+1-736-619-3990x91699,38,50160.22,MORTGAGE,7.7,CRM,2024-11-10 02:40:40.418654
P-100014,Cynthia Foster,1993-03-25,stephen10@example.com,+1-791-618-3842x513,32,62768.49,OTHER,0.0,CRM,2024-10-08 12:44:03.497597
