customer_id,first_name,last_name,date_of_birth,gender,country,city,employment_status,employment_length_years,annual_income,monthly_income,created_at
CUST0000001,Felix,Novak,1980-08-23,Female,Poland,Wroclaw,Employed,5.1,25549.54,2129.13,2026-08-14
CUST0000002,Felix,Muller,1999-08-24,Female,Poland,Krakow,Employed,9.0,35384.77,2948.73,2024-06-19
CUST0000003,Maria,Andersson,1973-08-23,Male,Poland,Gdansk,Employed,7.0,66954.56,5579.55,2019-05-18
CUST0000004,Emma,Novak,1971-08-24,Female,Germany,Munich,Student,0.1,8120.57,676.71,2024-11-01
CUST0000005,Marco,Garcia,2008-08-23,Female,United Kingdom,,Employed,0.0,55690.57,4640.88,2025-09-25
CUST0000006,Marco,Lopez,2002-08-24,Non-binary,Netherlands,Amsterdam,EMPLOYED,2.6,21745.56,1812.13,2023-05-08
CUST0000007,Emma,Rossi,1982-08-24,Female,United Kingdom,London,Employed,6.8,66865.69,5572.14,2025-05-14
CUST0000008,Julia,Jansen,1988-08-23,Female,France,Paris,Retired,4.3,18737.03,1561.42,2025-10-10
CUST0000009,Lucas,Smith,1984-08-23,Male,Germany,Munich,Unemployed,1.2,6542.73,545.23,2026-05-16
CUST0000010,Sofia,Andersson,1996-08-23,Female,Spain,Barcelona,Unemployed,0.9,7305.93,608.83,2026-04-20
CUST0000011,Felix,Moreau,1972-08-23,Female,Italy,Turin,Retired,3.5,34821.09,2901.76,2020-06-25
CUST0000012,Felix,Dubois,1895-12-27,Male,Poland,Wroclaw,Self-employed,8.0,45882.31,3823.53,2019-04-07
CUST0000013,Marco,Dubois,1983-08-24,Female,Netherlands,Amsterdam,Student,0.1,20821.99,1735.17,2023-12-26
CUST0000014,Piotr,Novak,1968-08-23,Female,Germany,Hamburg,Employed,24.7,29808.07,2484.01,2024-03-11
CUST0000015,Julia,Lopez,1977-08-23,Female,Spain,Madrid,Unemployed,0.3,3556.48,296.37,2023-05-08
CUST0000016,Marco,Moreau,1996-08-23,Male,Netherlands,Utrecht,Retired,12.0,25351.62,2112.63,2020-10-24
