person_id,full_name,date_of_birth,email,phone,person_age,person_income,person_home_ownership,person_emp_length,source_system,created_at
P-100000,Allison Hill,1991-05-17,donaldgarcia@example.net,+12195600133,34,67020.12,RENT,8.8,CRM,2025-11-03 14:08:53.954934
P-100001,Jennifer Cole,2005-07-30,lisa02@example.net,+12549235116,20,21672.54,MORTGAGE,5.5,CRM,2025-06-30 15:34:46.422589
P-100002,Jamie Arnold,1996-07-05,barbara10@example.net,+14417316475,29,27745.41,OWN,8.5,WEBSITE,2025-02-23 21:24:38.736240
P-100003,Mia Sutton,1987-11-26,lynchgeorge@example.net,+15272648350,38,45996.33,RENT,9.5,PARTNER_PORTAL,2026-01-04 22:48:49.890093
P-100004,Austin Gentry,1990-07-30,jason76@example.net,+17245238849,35,54328.97,RENT,1.2,CRM,2026-05-19 15:19:57.147449
P-100005,Johnny Campos,1986-10-21,hernandezernest@example.net,+17913669784,39,43154.45,OWN,4.3,CRM,2025-01-11 14:57:12.817932
P-100006,Aaron Bowen,1999-12-15,teresa28@example.org,+19482932528,26,40741.76,RENT,3.3,PARTNER_PORTAL,2024-09-06 09:26:12.405712
P-100007,William Roman,1996-01-20,brianhumphrey@example.org,+16718822782,29,59442.82,OTHER,6.5,CRM,2026-04-26 13:10:35.613769
P-100008,Nicole Vaughn,1990-04-14,raymond57@example.net,+12133315098,35,144048.62,MORTGAGE,3.4,WEBSITE,2025-10-28 20:39:09.026986
P-100009,Austin Johnson,1998-05-04,chad34@example.net,+18387299737,27,28351.21,RENT,7.5,WEBSITE,2025-04-12 17:46:14.772899
P-100010,Nicholas Nunez,1984-07-27,brownjessica@example.org,+19335872624,41,27942.77,OWN,1.7,WEBSITE,2026-02-22 14:12:30.183676
P-100011,Robert Chase,1988-11-24,williamsyvette@example.org,+14328677360,37,66755.35,MORTGAGE,7.2,CRM,2024-06-21 13:00:19.670545
P-100012,Timothy Glover,1999-08-03,rodney87@example.org,+12439098050,26,47295.82,OWN,5.9,BRANCH,2025-06-07 06:26:58.370053
P-100013,Brooke Yu,1987-03-24,yorkcasey@example.org,+17366193990,38,50160.22,MORTGAGE,7.7,CRM,2024-11-10 02:40:40.418654
P-100014,Cynthia Foster,1993-03-25,stephen10@example.com,+17916183842,32,62768.49,OTHER,0.0,CRM,2024-10-08 12:44:03.497597
P-100015,Michele Carr,1996-03-27,contrerasangela@example.net,+15247118244,29,34244.97,MORTGAGE,2.4,WEBSITE,2024-11-09 15:33:02.037301
P-100016,Deborah Freeman,1996-10-11,davisrodney@example.com,+12053242786,29,27550.97,RENT,8.9,WEBSITE,2024-08-11 17:44:02.170626
P-100017,Stephanie Gardner,2005-11-26,brandi26@example.org,+18454053315,20,36894.33,RENT,5.7,BRANCH,2026-03-30 12:16:02.266256
P-100018,Christopher Marsh,1989-12-08,nicolejohnson@example.net,+15635421607,36,68620.11,OTHER,3.6,CRM,2024-07-06 14:36:19.422180
P-100019,Garrett Lin,1997-06-18,michael86@example.net,+13508142940,28,71103.14,MORTGAGE,4.2,WEBSITE,2025-02-17 04:17:45.850290
P-100020,Jessica Joyce,2004-12-25,cruzbarbara@example.com,+17607883561,21,26750.31,MORTGAGE,7.0,PARTNER_PORTAL,2025-09-27 17:19:19.569956
P-100021,Steven Hunter,1992-10-16,snguyen@example.com,+18232662994,33,64845.77,RENT,3.3,CRM,2025-01-18 21:22:12.233646
P-100022,Richard Lawson,1992-01-12,steven73@example.net,+12212489513,33,37416.21,OWN,6.8,WEBSITE,2024-12-08 12:56:44.175847
P-100023,Samuel Jones,1999-05-11,kmercado@example.org,+19672632016,26,36327.14,RENT,3.5,WEBSITE,2025-07-15 11:36:32.156230
P-100024,Barbara Anderson,2003-04-28,jcontreras@example.net,+19795868727,22,34263.25,RENT,5.0,CRM,2024-12-29 09:10:14.694891
P-100025,Dustin Nelson,1990-07-26,patricia12@example.org,+19628316658,35,56703.55,OTHER,7.7,WEBSITE,2024-08-02 15:33:05.459645
P-100026,Jean Carrillo,1994-10-14,gateskathy@example.com,+18059466889,31,42453.09,MORTGAGE,0.0,CRM,2024-07-10 08:43:17.827710
P-100027,Michael Powell,2005-09-18,marycalhoun@example.net,+19064990162,20,21429.32,MORTGAGE,1.0,CRM,2024-07-25 06:07:53.037712
P-100028,Daniel Murphy,1990-07-14,aramirez@example.com,+12705805310,35,36026.52,MORTGAGE,10.2,WEBSITE,2024-11-06 16:19:34.955505
P-100029,Christian Martinez,1996-04-28,elliottjeffery@example.net,+18528991241,29,66544.99,RENT,1.3,WEBSITE,2026-04-10 12:19:19.468441
P-100030,Kevin Rivas,1995-12-12,curtisbarton@example.net,+18199058651,30,36810.26,OWN,8.4,PARTNER_PORTAL,2024-09-01 23:02:20.804592
P-100031,Madison Poole,2005-12-02,ryangross@example.net,+19985776945,20,56327.21,OWN,6.0,CRM,2025-11-27 17:25:02.277257
P-100032,Mary Rogers,1998-07-23,lrosales@example.com,+15543549480,27,46150.88,OTHER,2.9,CRM,2024-12-06 02:19:56.444661
P-100033,Justin Allen,1992-03-03,fbrewer@example.com,+19147363495,33,44892.17,OWN,11.4,WEBSITE,2025-04-14 02:08:10.086532
P-100034,Erin Warner,1995-05-25,kristopher31@example.net,+16513823374,30,48952.3,RENT,5.9,CRM,2026-01-24 06:31:07.177505
P-100035,Isaac Turner,1983-12-13,joshuamccann@example.net,+16279109477,42,70214.57,RENT,6.4,WEBSITE,2024-09-07 22:44:54.692944
P-100036,John Ray,1982-11-10,hernandezlisa@example.com,+18319869993,43,31198.85,OTHER,1.3,CRM,2026-03-18 10:06:35.252236
P-100037,Kevin Patterson,1997-06-08,lynchjody@example.org,+19346123281,28,20802.38,OWN,7.5,BRANCH,2024-07-12 21:29:45.093521
P-100038,Douglas Heath,1995-11-15,mcdanielsandra@example.net,+13362183242,30,25372.76,MORTGAGE,6.3,CRM,2024-10-14 06:11:04.441984
P-100039,Paul Carroll,1987-01-27,scott74@example.net,+12483877190,38,133012.98,OTHER,16.7,CRM,2024-11-27 09:20:15.616225
P-100040,Shannon Matthews,1990-11-13,keyemily@example.com,+18029787429,35,13730.49,OTHER,6.1,CRM,2026-04-29 20:03:42.336004
P-100041,Jason Morris,2000-06-13,hodgemark@example.net,+12469807154,25,35297.01,OWN,2.6,CRM,2025-04-05 12:05:24.285199
P-100042,Isaiah Avila,1995-08-30,nwolf@example.com,+14246771093,30,48357.51, MORTGAGE ,4.4,WEBSITE,2025-07-10 21:12:40.538820
P-100043,Anna Gay,2002-03-12,murraydavid@example.org,+14483467737,23,17657.65,OTHER,3.1,WEBSITE,2024-12-30 12:54:32.454967
P-100044,Jennifer Villa,1994-04-18,lori44@example.net,+18729787558,31,47650.62,OTHER,8.9,CRM,2026-04-04 11:26:04.674408
P-100045,Veronica Allen,1997-04-18,xhall@example.com,+17573662702,28,23116.01,OWN,1.1,PARTNER_PORTAL,2026-02-22 09:14:21.245997
P-100046,Joseph Bryant,1999-06-23,robertpena@example.org,+18747596158,26,28232.73,RENT,8.4,WEBSITE,2025-09-02 02:13:01.961955
P-100047,Katherine Weaver,2001-08-25,younggabrielle@example.com,+12167117240,24,74040.33,RENT,6.5,CRM,2025-12-29 17:09:07.434798
P-100048,James Thomas,1995-02-13,yknight@example.org,+14215969379,30,30941.91,OWN,6.8,WEBSITE,2025-05-09 01:24:04.568917
P-100049,David Smith,1997-10-07,rsantana@example.net,+16175594647,28,22604.78,OTHER,0.0,PARTNER_PORTAL,2026-05-21 01:45:32.261959
P-100050,Ashley James,1992-12-07,bailey40@example.net,+16404909743,33,48435.84,OTHER,4.5,CRM,2025-09-03 02:34:33.016340
P-100051,Maria Parker,1991-04-12,xjohnson@example.net,+17146562328,34,90971.45,OTHER,5.9,PARTNER_PORTAL,2026-01-22 18:16:38.391915
P-100052,Roger Olson,1997-08-12,julie51@example.com,+16233685160,28,56151.91,RENT,11.1,WEBSITE,2025-05-04 14:24:52.843487
P-100053,Megan Richards,1992-08-26,daniel37@example.org,+12856931746,33,22618.92,RENT,0.0,WEBSITE,2026-05-18 15:49:23.725270
P-100054,David Medina,1980-12-19,qchavez@example.net,+17865926179,45,40185.62,MORTGAGE,3.5,WEBSITE,2025-04-26 14:42:50.028296
P-100055,Savannah Garcia,1982-03-15,amy50@example.com,+15313713900,43,24127.92,MORTGAGE,1.4,CRM,2026-01-22 07:16:10.000237
P-100056,Laurie Li,1988-09-16,markhernandez@example.net,+14422284210,37,44231.08,OTHER,4.3,CRM,2025-02-25 23:22:03.070820
P-100057,Leah Smith,1991-01-21,brian68@example.org,+16179758917,34,96193.3,RENT,5.4,BRANCH,2025-09-13 16:18:18.205603
P-100058,Zachary Boone,1988-01-23,fparks@example.net,+17118592124,37,43183.12, MORTGAGE ,1.6,BRANCH,2026-05-17 17:58:28.876760
P-100059,Jody Jacobs,2003-11-24,mcguiredanny@example.net,+18837673657,22,27364.89,OWN,3.7,PARTNER_PORTAL,2025-09-28 22:14:39.911184
P-100060,Christian Leblanc,1986-12-12,davischristopher@example.com,+13528809885,39,45109.46,RENT,3.1,WEBSITE,2025-02-22 17:17:29.275809
P-100061,Nicole Parrish,1996-04-14,schmittcaroline@example.com,+17983327315,29,76996.62,MORTGAGE,7.2,WEBSITE,2025-12-06 05:19:48.400308
P-100062,Renee Bruce,1983-07-06,lynchdiane@example.net,+13024445502,42,30249.4,OWN,4.1,CRM,2025-11-21 01:35:11.164302
P-100063,Anna Moreno,1992-09-27,vbarnes@example.org,+16459991022,33,48879.6,OWN,0.7,PARTNER_PORTAL,2025-09-26 16:57:57.062512
P-100064,Mr. Donald Fischer,1993-04-11,reeddaniel@example.net,+14976840369,32,177124.95,RENT,12.5,PARTNER_PORTAL,2025-01-08 18:48:59.447456
P-100065,Jonathan Jordan,2000-08-08,omarpadilla@example.net,+17518606071,25,37870.93,OTHER,0.0,CRM,2025-07-26 16:29:25.731541
P-100066,Jennifer Wilson,1998-03-05,burchgeorge@example.net,+16517613696,27,86096.11,MORTGAGE,2.1,WEBSITE,2024-11-22 05:44:00.158351
P-100067,Angela Schultz,2000-01-02,rebeccabailey@example.net,+19239124329,26,13615.87,MORTGAGE,4.3,CRM,2025-10-10 03:39:33.736094
P-100068,Maria Downs,2002-02-01,michelle52@example.com,+13776449058,23,149652.78,OWN,2.9,WEBSITE,2025-05-09 11:21:47.964679
P-100069,Jacob Mitchell,2001-02-25,gilbertwilliam@example.com,+14802793597,24,42114.85,RENT,0.0,CRM,2025-05-01 14:44:54.727610
P-100070,Sara Haas,2005-06-27,wagnergerald@example.org,+17772889255,20,21849.16,OTHER,0.6,WEBSITE,2025-12-24 20:52:28.640276
P-100071,Andrea Davis,1979-10-15,umitchell@example.net,+16258192546,46,219210.33,OWN,0.3,CRM,2025-09-13 18:52:12.520711
P-100072,Carl Warner,1996-08-31,lucasrodney@example.com,+14544235733,29,114781.28,OTHER,1.1,BRANCH,2024-08-13 02:01:57.488893
P-100073,Ashley Wise,1995-11-17,stanleynancy@example.net,+12968222927,30,68018.54,OWN,6.7,CRM,2025-03-02 05:11:49.791932
P-100074,Tracy Bishop,1997-06-12,pyoung@example.com,+14356977468,28,20822.87,OTHER,4.0,BRANCH,2024-07-26 13:59:31.502026
P-100075,Mr. Timothy Dawson,1996-11-13,mitchellkathryn@example.com,+17825613750,29,50397.33,OWN,2.8,WEBSITE,2025-03-17 12:48:34.900585
P-100076,Danny Flores,1990-07-06,combsdebra@example.org,+13042727790,35,48314.46,OTHER,6.4,BRANCH,2024-12-16 07:14:25.869033
P-100077,Kimberly Acosta,1993-05-06,srodriguez@example.org,,32,44357.91,MORTGAGE,2.1,PARTNER_PORTAL,2025-01-10 01:29:42.452525
P-100078,Harry Duncan,1991-07-15,elizabethmiller@example.com,+12888888067,34,208510.8,OTHER,13.4,CRM,2026-05-08 05:32:02.942850
P-100079,Alan Kramer,1981-11-07,john19@example.net,+12526058527,44,54842.22,OWN,1.9,CRM,2024-11-08 05:49:16.628419
P-100080,Stacey Stewart,2002-12-04,zachary87@example.com,+18348505415,23,51252.11,RENT,6.9,PARTNER_PORTAL,2025-11-22 16:54:09.486990
P-100081,Jasmine Beltran,2005-03-08,xholt@example.net,,20,73872.15,OWN,6.8,PARTNER_PORTAL,2025-01-20 17:25:53.372513
P-100082,Jessica Norris,2002-09-12,sergio59@example.com,+14013658202,23,51279.4,RENT,5.2,CRM,2024-12-02 08:12:40.808240
P-100083,Heidi Herring,1996-03-22,jacobserika@example.com,+12714928565,29,41901.69,RENT,4.0,CRM,2025-06-04 14:27:28.067431
P-100084,Justin Green,1992-01-23,jane39@example.com,+13736121727,33,10811.2,RENT,4.1,WEBSITE,2026-03-06 09:24:38.456294
P-100085,Michelle Ho,1992-03-02,laurahicks@example.org,+19234705895,33,52197.86,RENT,3.5,PARTNER_PORTAL,2025-08-22 16:33:08.693784
P-100086,Eric Key,2005-11-07,xfox@example.com,+14124517785,20,114696.25,MORTGAGE,0.0,WEBSITE,2025-12-09 20:20:47.867455
P-100087,Jonathan Oneill,1987-08-12,holmeskevin@example.org,+13354841438,38,37023.61,OWN,4.8,PARTNER_PORTAL,2025-08-08 13:58:11.252593
P-100088,Carolyn Weber,2002-10-14,megan90@example.org,+19096439690,23,90673.87,OTHER,7.3,CRM,2025-09-12 16:12:27.036041
P-100089,David Aguirre,1980-09-26,eevans@example.net,+14277677359,45,84759.79,OTHER,6.8,WEBSITE,2026-02-13 11:38:37.955936
P-100090,William Reed,1980-07-18,xanderson@example.net,+14153371473,45,69940.03,OWN,3.8,CRM,2024-07-25 11:31:19.750743
P-100091,Sharon Barnes,1993-05-16,lisapeck@example.net,+15325787747,32,30224.76,OTHER,9.0,CRM,2025-08-02 15:40:17.339906
P-100092,Douglas Harper,2003-06-03,amitchell@example.org,+16243565060,22,39940.33,OTHER,9.7,PARTNER_PORTAL,2025-03-17 15:52:52.593246
P-100093,Joshua Bryan,1987-05-03,andersoncolin@example.com,+19859239868,38,120735.25,RENT,7.9,WEBSITE,2024-10-02 08:41:21.260825
P-100094,Brenda Velazquez,2005-04-17,francisco94@example.net,+16882879470,20,23281.07,RENT,2.9,CRM,2025-08-12 03:43:41.608442
P-100095,Matthew Stanton,1981-11-23,jennifersilva@example.org,+18965230913,44,62984.48,MORTGAGE,2.2,WEBSITE,2025-04-03 11:50:17.887757
P-100096,Tami Salas,2002-12-06,thorntonapril@example.net,+15785652785,23,22717.52,RENT,2.3,CRM,2025-01-01 11:17:30.778600
P-100097,Todd Hendrix,1991-10-10,janet75@example.com,+12846419866,34,83735.78,OWN,7.4,PARTNER_PORTAL,2026-04-20 05:02:45.415740
P-100098,Thomas Douglas,2005-05-04,ilewis@example.com,+15425199330,20,46148.44,OWN,6.7,PARTNER_PORTAL,2024-07-26 19:13:32.052834
P-100099,Mitchell Garcia,1981-07-06,adampierce@example.org,+18774345401,44,14260.07,MORTGAGE,2.6,PARTNER_PORTAL,2026-04-05 05:25:44.126276
P-100100,Russell French,1989-03-30,sharonhayden@example.com,+19044991547,36,99884.72,RENT,6.5,PARTNER_PORTAL,2026-02-06 04:22:41.138675
P-100101,Corey Rodriguez,1987-11-30,jessicawong@example.net,+18057493296,38,32402.18,RENT,8.3,CRM,2024-08-19 18:57:50.509220
P-100102,Cathy Taylor,1985-04-17,shari04@example.com,+17745549904,40,50459.21,RENT,6.1,BRANCH,2024-08-02 13:10:29.007585
P-100103,Eric Sullivan,2000-02-15,hannah45@example.net,+19325727956,25,40898.93,OWN,4.4,CRM,2025-12-05 16:47:18.658012
P-100104,Linda Cobb,1990-12-10,xrice@example.org,+14107883982,35,24780.32,OTHER,4.5,PARTNER_PORTAL,2026-02-08 13:58:43.970945
P-100105,Michael Love,1982-02-05,gdavis@example.com,+19726867908,43,29467.01,OTHER,1.7,BRANCH,2025-11-08 16:12:28.099287
P-100106,Robert Reese,1992-05-31,williamsmelvin@example.org,+18017704622,33,44635.48,OWN,10.3,CRM,2026-05-16 12:11:55.831028
P-100107,Sergio Knox,1987-07-21,qmiller@example.net,+12512286823,38,70474.13,OTHER,7.2,CRM,2026-05-06 10:41:09.454026
P-100108,Nathan Coleman,1975-02-28,pmorrow@example.com,+13242310690,50,14736.21,OTHER,11.4,CRM,2025-04-28 18:07:23.490615
P-100109,Shelby Sanchez,1997-05-21,moralesjimmy@example.org,+15028843959,28,47067.32,OTHER,10.2,CRM,2025-01-16 12:38:53.058803
P-100110,Travis Hobbs,2005-08-02,conniesimmons@example.com,+18564856624,20,18385.12,MORTGAGE,1.8,CRM,2025-11-30 11:39:05.705347
P-100111,Samuel Turner,1990-09-25,lindamelendez@example.net,+15682826343,35,59177.89,RENT,6.1,PARTNER_PORTAL,2024-12-25 02:01:03.472441
P-100112,Lindsey Russo,2005-08-17,lindamatthews@example.net,+13379354033,20,45701.87,RENT,3.1,WEBSITE,2026-03-22 13:55:06.338448
P-100113,Michele Sanders,1990-01-12,andrearowe@example.com,+15857445877,35,65256.08,RENT,5.6,CRM,2025-01-25 05:27:54.203236
P-100114,Sean Figueroa,1987-05-08,greensarah@example.net,+16649235369,38,59369.48,OTHER,2.2,PARTNER_PORTAL,2026-04-28 01:14:36.034160
P-100115,Katherine Jackson,1995-02-16,gary87@example.org,+15083010062,30,49425.75,OWN,8.3,CRM,2025-10-28 09:21:55.948931
P-100116,Jonathan Brooks,1997-09-25,bhopkins@example.org,+12868008484,28,38322.35,RENT,4.5,WEBSITE,2026-01-05 17:40:28.819151
P-100117,Ashley Davis,1987-05-17,johnharvey@example.com,+12463156793,38,14821.24,RENT,0.0,PARTNER_PORTAL,2025-03-30 22:06:52.170926
P-100118,John Walsh,2005-09-23,christopherbruce@example.net,+12914803397,20,30544.95,OWN,8.0,PARTNER_PORTAL,2026-04-01 14:44:40.327216
