customer_id,first_name,last_name,date_of_birth,gender,country,city,employment_status,employment_length_years,annual_income,monthly_income,created_at
CUST0000001,Sofia,Kowalski,1980-08-23,Male,Spain,Madrid,Employed,6.7,41894.32,3491.19,2020-01-30
CUST0000002,Nina,Dubois,1999-08-24,Female,Netherlands,Utrecht,Self-employed,9.0,30415.81,2534.65,2023-07-21
CUST0000003,Tomasz,Andersson,1973-08-23,Female,Poland,Poznan,Retired,6.8,16486.83,1373.9,2026-01-18
CUST0000004,Piotr,Rossi,1971-08-24,Female,France,Lyon,Employed,9.6,85600.29,7133.36,2024-07-16
CUST0000005,Hugo,Fischer,2008-08-23,Female,Spain,Valencia,Employed,0.0,40700.94,3391.75,2019-04-01
CUST0000006,Tomasz,Fischer,2002-08-24,Female,Poland,Warsaw,Employed,6.0,66345.24,5528.77,2020-04-14
CUST0000007,Nina,Jansen,1982-08-24,Male,Spain,Madrid,Employed,1.3,52432.86,4369.4,2024-08-29
CUST0000008,Maria,Dubois,1988-08-23,Male,United Kingdom,London,Student,1.0,17732.54,1477.71,2024-08-07
CUST0000009,Piotr,Kowalski,1984-08-23,Male,Netherlands,Rotterdam,Employed,2.2,67047.5,5587.29,2021-12-28
CUST0000010,Sofia,Fischer,1996-08-23,Female,Netherlands,Rotterdam,Employed,2.2,51374.41,4281.2,2026-04-06
CUST0000011,Marco,Moreau,1972-08-23,Female,Poland,Gdansk,Employed,6.5,25420.32,2118.36,2025-10-17
CUST0000012,Elena,Smith,1973-08-23,Female,Germany,Munich,Student,0.4,6425.78,535.48,2024-09-06
CUST0000013,Hugo,Jansen,1983-08-24,Male,France,Paris,Employed,7.2,78603.82,6550.32,2024-09-20
CUST0000014,Julia,Novak,1968-08-23,Male,Poland,Gdansk,Self-employed,26.8,23248.8,1937.4,2024-12-31
CUST0000015,Julia,Andersson,1977-08-23,Female,Poland,Poznan,Employed,8.4,50150.68,4179.22,2020-02-19
CUST0000016,Elena,Nowak,1996-08-23,Male,Netherlands,Utrecht,Employed,12.0,74897.94,6241.5,2024-05-11
CUST0000017,Lucas,Andersson,1979-08-24,Female,Poland,Wroclaw,Self-employed,3.8,37808.85,3150.74,2026-03-10
CUST0000018,Piotr,Moreau,1997-08-23,Female,Germany,Munich,Employed,6.3,68183.3,5681.94,2020-09-19
CUST0000019,Maria,Novak,1972-08-23,Female,Italy,Milan,Self-employed,9.5,26742.51,2228.54,2019-02-10
CUST0000020,Marco,Smith,1985-08-23,Female,Poland,Poznan,Employed,1.9,35347.87,2945.66,2021-10-04
CUST0000021,Laura,Jansen,1987-08-24,Male,Germany,Berlin,Self-employed,6.4,64884.27,5407.02,2021-01-23
CUST0000022,Lucas,Garcia,1994-08-24,Male,Netherlands,Utrecht,Unemployed,1.4,4510.49,375.87,2026-04-05
CUST0000023,Emma,Andersson,1967-08-24,Female,Germany,Berlin,,6.5,64293.04,5357.75,2022-05-30
CUST0000024,Lucas,Garcia,1986-08-24,Male,Poland,Wroclaw,Employed,7.5,35138.86,2928.24,2024-01-21
CUST0000025,Felix,Rossi,1990-08-24,Male,Poland,Krakow,Self-employed,3.1,34333.87,2861.16,2026-07-05
CUST0000026,Felix,Garcia,1989-08-23,Male,Netherlands,Rotterdam,Student,0.8,17195.84,1432.99,2025-01-12
CUST0000027,Maria,Rossi,1977-08-23,Male,Poland,Poznan,Employed,10.1,69593.35,5799.45,2024-09-23
CUST0000028,Jan,Dubois,1979-08-24,Female,France,Marseille,Employed,15.7,48894.6,4074.55,2026-05-29
CUST0000029,Piotr,Nowak,1978-08-24,Male,Poland,Poznan,Unemployed,0.9,2053.89,171.16,2024-04-07
CUST0000030,Diego,Novak,1978-08-24,Female,Germany,Berlin,Employed,5.9,75326.08,6277.17,2020-10-08
CUST0000031,Lucas,Smith,1954-08-24,Male,Netherlands,Amsterdam,Self-employed,6.0,173322.18,14443.52,2024-07-22
